authors,series,title
"Team AlexandriZ","","Carrisi,Donato-Le chuchoteur(Il suggeritore)(2009).OCR.French.ebook.AlexandriZ"
"Guy de Maupassant","","Contes de la bécasse"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Le mystère du jardin chinois"
"Peters,Ellis","Cadfael","Un insondable mystère"
"Fight Club","","Palahniuk, Chuck"
"1984","","Orwell, George"
"Voltaire","","Micromegas"
"Freud & L'Inconscient","","Sauret, Marie-Jean - Essentiels Milan"
"Jean Racine","","Andromaque"
"Comte Léon Tolstoï","","LA GUERRE ET LA PAIX – TOME I"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Petits meurtres entre moines"
"Maurice Leblanc","","« 813 »"
"Akagawa,Jiro","","Meurtres pour tuer le temps"
"Bachman,Richard(King,Stephen)","","Running man"
"Comte Léon Tolstoï","","LA GUERRE ET LA PAIX – TOME II"
"Racine","","Phèdre"
"Comte Léon Tolstoï","","LA GUERRE ET LA PAIX – TOME III"
"Adolphe Thiers","","Histoire de la Revolution française, IX"
"Wilkie Collins","","C'était écrit"
"Maurice Leblanc","","VICTOR, DE LA BRIGADE MONDAINE"
"Zuiker,Anthony E.","Level 26","Level 26"
"COMPP","","Microsoft Word - Document1"
"Guy de Maupassant","","Monsieur Parent"
"ROWLING J.K.","","Harry Potter et le Prisonnier d'Azkaban"
"Cornwell,Patricia","","Jack l'Eventreur, affaire classée"
"Charles Dickens","","L'Ami commun - Tome II"
"George Sand","","L'Orco"
"Simenon,Georges","Maigret","Le charretier de La Providence"
"Charles Dickens","","L'Ami commun - Tome I"
"Pierre Corneille","","Cinna"
"Lindsay,Jeff","Dexter","Ce cher Dexter"
"Ali","","Schopenhauer"
"Victor Hugo","","Quatre-vingt-treize"
"Peters,Ellis","Cadfael","Un Bénédictin pas ordinaire"
"Le Monde De Sophie","","Gaarder, Jostein"
"Kerr,Philip","Bernhard Gunther","Un requiem allemand"
"Voltaire","","Jeannot et Colin"
"Peters,Ellis","Cadfael","L'apprenti du diable"
"Richard de Bury","","Histoire de St. Louis, Roi de France"
"Cornwell,Patricia","Kay Scarpetta","Mémoires mortes"
"Napoleon Bonaparte","","Oeuvres de Napoleon Bonaparte, TOME III"
"Si C'est Un Homme","","Levi, Primo"
"Suskind,Patrick","","Le parfum"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","L'art délicat du deuil"
"George Sand","","Contes d'une grand-mere"
"ERICA SPINDLER","","Rapt"
"Ellis,Bret Easton","","American Psycho"
"Adolphe Thiers","","Histoire de la Revolution francaise, tome 1"
"Gustave Flaubert","","La tentation de Saint Antoine"
"Guy de Maupassant","","La maison Tellier - Une partie de Campagne"
"Gustave Flaubert","","Madame Bovary"
"Maurice Leblanc","","LES CONFIDENCES D’ARSÈNE LUPIN"
"Dennis Lehane","","Shutter Island"
"Murakami,Ryû","","Miso soup"
"Docteur Henri Beland","","Mille et un jours en prison a Berlin"
"DIDEROT","","Les Bijoux Indiscrets"
"Mémoires de L'Enfer (Autobiographie)","","Marilyn Manson"
"Alexandre Dumas","","Histoire d'un casse-noisette"
"George Sand","","Pauline"
"Chattam,Maxime","Trilogie du mal","L'Ame du mal"
"Alphonse Daudet","","Le petit chose"
"Henry Cauvain","","Maximilien Heller"
"w7abd","","Hésiode"
"Alexandre Dumas","","Le Corricolo"
"Jules Verne","","Les Index Noires"
"Grangé,Jean-Christophe","","Miserere"
"Julien Lefebvre","","OgreV9.pdf"
"Andro","","Levy,Marc-Le voleur d'ombres(2010).OCR.French.ebook.AlexandriZ"
"Arthur de Gobineau","","La chasse au caribou"
"Bernard Werber","","Le livre secret des fourmis - Encyclopédie du Savoir Relatif et Absolu"
"Léon Tolstoï","","ANNA KARÉNINE - Tome I"
"L'ile des Esclaves","","Marivaux"
"Maurice Leblanc","","L’HOMME À LA PEAU DE BIQUE"
"Hesse, Hermann","","Demian"
"L'Utopie (Ou Le Traité De La Meilleure Forme De Gouvernement)","","More, Thomas"
"Jules Verne","","Keraban Le Tetu, Vol. II"
"Harris,Thomas","Hannibal Lecter","Dragon rouge"
"ROWLING J.K.","","Harry Potter et la Chambre des Secrets"
"Thilliez,Franck","","La chambre des morts"
"Alexandre Dumas","","La dame de Monsoreau v.3"
"Vargas,Fred","JB Adamsberg","Pars vite et reviens tard"
"La Mare au Diable","","Sand, George"
"Alexandre Dumas","","La dame de Monsoreau v.1"
"Jules Verne","","Michel Strogoff"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Thé vert et arsenic"
"King,Stephen","","King,Stephen-Juste avant le crépuscule.(Just after sunset).(2008).French.ebook.AlexandriZ"
"E E","","Schmitt - Milarepa"
"Grangé,Jean-Christophe","","L'empire des loups"
"Laurent-Olivier David","","Le Heros de Chateauguay"
"La Ballade De La Balle Elastique & L'homme Qui Refusait De Serrer La Main","","King, Stephen"
"Maurice Leblanc","","LE CABOCHON D’ÉMERAUDE"
"American Psycho","","Ellis, Bret Easton"
"George Sand","","Gabriel"
"Jules Verne","","Les Cinq Cents Millions de la Begum"
"Emile Zola","","La Bete Humaine"
"carte territoire","","Houellebecq - carte_territoire_"
"Leon Heuzey (1831-1922)","","Mythes chaldeens"
"De Villiers,Gérard","SAS","SAS contre CIA"
"Emile Zola","","Une Page d'Amour"
"Simenon,Georges","Maigret","La tête d'un homme"
"Comtesse de Segur","","L'auberge de l'ange gardien"
"Simenon,Georges","Maigret","Le pendu de Saint-Pholien"
"Bogdanov & grichka BOGDANOV","","Le visage de dieu"
"Christie,Agatha","","Cinq Heures vingt-cinq"
"Anatole France","","La rotisserie de la Reine Pedauque"
"Frederic Nietzsche","","Ainsi Parlait Zarathoustra"
"Françoise Morin","","Dernière escale"
"Molière","","Tartuffe, ou l'imposteur"
"L'Alchimiste","","Coelho, Paulo"
"L'argumentation dans la Communication","","Breton, Philippe"
"San-Antonio","","Mes hommages à la donzelle"
"Teulé,Jean","","Le Monstespan"
"Gustave Flaubert","","Trois contes"
"Voltaire","","Lettres philosophiques"
"Kent, Alexander","","A rude école"
"San-Antonio","","Céréales killer"
"Emile Zola","","J'accuse"
"Anatole France","","L'ile Des Pingouins"
"Guillaume Apollinaire","","LES ONZE MILLE VERGES ou les amours d’un hospodar"
"A la une, à la deux, à la mort","","Evanovich Janet"
"Art de La Guerre","","Sun Tzu"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","La nuit des juges"
"Alexandre Dumas","","Le Speronare"
"Moliere","","Sganarelle"
"Peters,Ellis","Cadfael","Le Voleur de Dieu"
"ROWLING J.K.","","Harry Potter et la Coupe de Feu"
"Grangé,Jean-Christophe","","Les rivières pourpres"
"Je Suis Une Légende](1)","","Matheson, Richard"
"Franck Thilliez","","La forêt des ombres"
"Emile Zola","","La Terre"
"test","","San-Antonio chez les macs"
"Eloge de la Folie","","Erasme"
"Jules Verne","","Le Chateau des Carpathes"
"La Saga des Jeux Vidéo","","Ichbiah, Daniel"
"Kerr,Philip","Bernhard Gunther","L'été de cristal"
"Maurice Leblanc","","LES MILLIARDS D’ARSÈNE LUPIN"
"Jacques Cazotte","","Le Diable amoureux"
"Chattam,Maxime","","Autre-Monde-3-Le Cœur de la Terre"
"Voltaire","","Candide"
"Alphonse Daudet","","Le nabab, tome I"
"Voltaire","","L'Ingenu"
"Hector Malot","","Anie"
"Le Bateau Ivre (Et Autres Poèmes)","","Rimbaud, Arthur"
"Victor Hugo","","La Legende des Siecles"
"Peters,Ellis","Cadfael","La vierge dans la glace"
"Brussolo,Serge","","Le sourire noir"
"Chattam,Maxime","Le Cycle de l'Homme","La theorie gaïa"
"L'homme Révolté","","Camus Albert"
"Brussolo,Serge","Peggy Meetchum","Baignade accompagnée"
"Ellis, Bret Easton","","Luna Park"
"Peters,Ellis","Cadfael","Trafic de reliques"
"USER","","Michel Houellebecq"
"Jean Racine","","Iphigénie en Aulide"
"Mary Higgins Clark","","Avant de te dire adieu"
"Chattam,Maxime","","Autre-Monde-1-L'Alliance des Trois"
"Chattam,Maxime","Le Cycle de l'Homme","Predateurs"
"Voltaire","","LE MONDE COMME IL VA"
"Victor Hugo","","L'homme Qui Rit"
"Guy de Maupassant","","Les Contes du jour et de la nuit--Le Vieux"
"Peters,Ellis","Cadfael","La foire de saint Pierre"
"Adolphe Thiers","","Histoire de la Revolution francaise, Tome Cinquieme"
"La Peur","","Zweig, Stefan"
"Murakami,Haruki","","La course au mouton sauvage"
"George Sand","","Consuelo, Volume 2"
"George Sand","","Consuelo v.1"
"George Sand","","Consuelo Volume 3"
"Chattam,Maxime","","Autre-Monde-2-Malronce"
"Cornwell,Patricia","Kay Scarpetta","Et il ne restera que poussière"
"Collins,Larry","","Les aigles noirs"
"Guy de Maupassant","","Une vie"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Le château du lac Tchou-An"
"Kennedy Douglas","","une relation dangeureuse"
"Andro","","Vargas Fred"
"Anatole France","","Pierre Noziere"
"Nadja","","Breton, André"
"HP_Administrator","","Microsoft Word - Jennings, Gary - Azteca T.1.doc"
"Simenon,Georges","Maigret","La nuit du carrefour"
"L'Entretien Compréhensif","","Kaufmann, Jean-Claude"
"Peters,Ellis","","Cadfael-3-Le Capuchon Du Moine"
"Japp,Andréa","Diane Silver","Dans la tête,le venin"
"Izzo,Jean-Claude","Fabio Montale","Total kheops"
"Coben,Harlan","","Ne le dis à personne"
"Je Crois Moi Non Plus","","Beigbeder, Frederic & Di Falco Jean-Michel"
"A L'Ouest Rien De Nouveau","","Remarque, Erich Maria"
"Voltaire","","Zadig"
"Marcel Proust","","A L'Ombre Des Jeunes Filles en Fleur, Volume 3"
"Comtesse de Segur","","Le Mauvais Genie"
"Comtesse de Segur","","Un bon petit diable"
"Voltaire","","L'homme aux quarante écus"
"George Sand","","Promenades autour d'un village"
"STEFAN ZWEIG","","Vingt-quatre heures de la vie d’une femme"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Le palais des courtisanes"
"Chattam,Maxime","Trilogie du mal","Maléfices"
"Maurice Leblanc","","ARSÈNE LUPIN CONTRE HERLOCK SHOLMÈS"
"Henry Bordeaux","","La Maison"
"Lenormand,Frederic","Juge Ti Nouvelles Enquêtes","Guide de survie d’un juge en Chine"
"Pourquoi J'ai Mangé Mon Père","","Lewis, Roy"
"Faust","","Goethe"
"Vargas,Fred","JB Adamsberg","Coule la Seine"
"Charles de Remusat","","Abelard, Tome I"
"Andro","","Chattam - Trilogie du mal - 3 - Malefices"
"Peters,Ellis","Cadfael","L'Été des Danois"
"Christie,Agatha","Poirot","Cinq petits cochons"
"Mary Higgins Clark","","Deux petites filles en bleu"
"Serge Brussolo","roman","FNA 1594 - L'Ombre des Gnomes"
"La Grammaire Est Une Chanson Douce","","Orsenna, Erik"
"Wilkie Collins","","L'Hôtel hanté"
"Au Nom De La Liberté ( Poèmes De La Résistance )","","Collectif"
"HP_Administrator","","Microsoft Word - Jennings, Gary - Azteca T.2.doc"
"Molière","","L'école des femmes"
"Arthur Conan Doyle","","Charles-Auguste Milverton - Recueil Le retour de Sherlock Holmes"
"Peters,Ellis","Cadfael","Frère Cadfael fait pénitence"
"Lumiere d'aout","","William Faulkner.doc"
"Peters,Ellis","Cadfael","Le lépreux de St Gilles"
"Le Scarabée D'Or","","Poe, Edgar Allan"
"Journal Intime (Nirvana)","","Cobain, Kurt"
"Victor Hugo","","A propos de William Shakespeare"
"Adolphe Thiers","","Histoire de la Revolution francaise, III"
"Cornwell,Patricia","Kay Scarpetta","Une Mort sans nom"
"Simenon,Georges","Maigret","Pietr-le-Letton"
"Le Livre Secret des fourmis","","Werber"
"Laurie,Hugh","","Tout est sous Control"
"Contes Et Legendes De La Naissance De Rome","","Orvieto, Laura"
"Peters,Ellis","Cadfael","Le Capuchon Du Moine"
"Grangé,Jean-Christophe","","Le concile de pierre"
"Inconnu(e)","","Schopenhauer, Arthur (1788-1860). Le monde comme volonté et comme représentation. 1909."
"Peters,Ellis","Cadfael","La Confession de frère Haluin"
"Edgar Poe","","Derniers Contes"
"Peters,Ellis","Cadfael","La Rançon du mort"
"Emile Zola","","Nouveaux Contes a Ninon"
"Grangé,Jean-Christophe","","Le vol des cigognes"
"E.M. CIORAN","","Cioran - Une Anthologie"
"Mon vieux","","H:\COMPO\se306828\mon_vieux\se180419\vieux.527"
"Chattam,Maxime","Le Cycle de l'Homme","Les arcanes du chaos"
"Christie,Agatha","","Dix petits nègres"
"L'Elevage des Dendrobates et des Mantella","","Merminod, Charly"
"Roman-1","","Un le?ger passage a? vide_BAT:Un léger passage à vide_BAA"
"Simenon,Georges","Maigret","Monsieur Gallet, décédé"
"Maurice Leblanc","","ARSÈNE LUPIN GENTLEMAN-CAMBRIOLEUR"
"Manhattan nocturne","","HARRISON, Colin - Manhattan nocturne"
"Jules Renard","","Histoires naturelles"
"Henri Massis","","La vie d'Ernest Psichari"
"Connelly,Michael","Terry McCaleb","Créance de sang"
"Bernard Werber","","Les fourmis"
"Maurice Maeterlinck","","La sagesse et la destinee"
"Le Magicien d'Oz","","Baum, L.Frank"
"Alfred Binet","","La Suggestibilite"
"Wilkie Collins","","La Piste du crime"
"Cette Aveuglante Absence De Lumiere","","TAHAR BEN JELLOUN"
"Antimanuel De Philosophie","","Onfray, Michel"
"Arthur Young","","Voyages en France pendant les années 1787, 1788, 1789"
"Victor Hugo","","Les feuilles d'automne"
"Inconnu(e)","","L'histoire des civilisations"
"J'irais Cracher Sur Vos Tombes","","Vian, Boris"
"Maurice Leblanc","","LA COMTESSE DE CAGLIOSTRO"
"Emile Zola","","L'assommoir"
"Camut,Jerome(feat Hug,Nathalie)","","3 fois plus loin"
"Inconnu(e)","","Murakami,Haruki-La course au mouton sauvage(1982).French.ebook.AlexandriZ"
"George Sand","","Nouvelles lettres d'un voyageur"
"Bernard Werber","","La Révolution des fourmis"
"HP_Administrator","","Microsoft Word - Pennac, Daniel - Chargrin d_'école.doc"
"Peters,Ellis","Cadfael","Le Pèlerin de la haine"
"Racine","","Athalie"
"Thilliez Franck","","Le syndrome E"
"Victor Hugo","","L'année terrible"
"Cornwell,Patricia","Andy Brazil","L'île des chiens"
"Emile Zola","","Germinal"
"Wilkie Collins","","La Pierre de Lune"
"Moliere","","Le Mariage Force"
"Cornwell,Patricia","Andy Brazil","La Ville des Frelons"
"Victor Hugo","","Han d'Islande"
"Jean Massart","","La Presse Clandestine dans la Belgique Occupee"
"Le Voyageur Sans Bagage & Le Bal Des Voleurs","","Anouilh, Jean"
"Cornwell,Patricia","Kay Scarpetta","Morts en eaux troubles"
"Maurice Leblanc","","LE BOUCHON DE CRISTAL"
"Stendhal","","Le Rouge et Le Noir"
"Honore de Balzac","","Eugenie Grandet"
"Marcel Proust","","Du Côté de Chez Swann"
"Léon Tolstoï","","Une tourmente de neige et autres nouvelles"
"Bernard Werber","","L'encyclopédie du savoir relatif et absolu"
"Anatole France","","Les sept femmes de la Barbe-Bleue et autres contes merveilleux"
"Charles DeGuise","","Helika"
"Chattam,Maxime","","La Promesse des ténèbres"
"Voltaire","","Histoire des Voyages de Scarmentado"
"Arthur de Gobineau","","Adelaïde"
"Molière","","Les fourberies de Scapin"
"Jules Verne","","20000 Lieues sous les mers Part 2"
"Jean Racine","","Britannicus"
"Robert,Michel","l'agent des ombres","Les chiens de guerre"
"Robert, Michel","l'agent des ombres","Guerrier des Lunes"
"Robert Michel","","La Fille des Clans, T1 : Balafrée"
"Léon Tolstoï","","ANNA KARÉNINE - Tome II"
"Robert Anthony Salvatore","Les Royaumes Oubliés - La Pentalogie Du Clerc","À l'Ombre des Fôrets"
"10 Contes de Loups","","Bladé, Jean-François"
"Cassandra O'Donnell","Rebecca Kean","5 L'Armée Des Ames - Rebecca Kean"
"Maurice Leblanc","","UNE AVENTURE D’ARSÈNE LUPIN"
"Leblanc, Maurice","","Le triangle d'or"
"Maurice Leblanc","","Les Dents du tigre"
"Maurice Leblanc","","QUI EST ARSÈNE LUPIN ?"
"Maurice Leblanc","","Les huit coups de l'horloge"
"Maurice Leblanc","","LA DENT D’HERCULE PETITGRIS - LE PARDESSUS D'ARSÈNE LUPIN"
"Maurice Leblanc","","L'aiguille creuse"
"Ovide","","Les Métamorphoses"
"Michel Robert","","Sang-Pitié"
"Michel Robert","l'agent des ombres","L'Ange du Chaos"
"Michel Robert","l'agent des ombres","Hors-Destin"
"Michel Robert","","Gheritarish, les terres de sang"
"Michel Robert","l'agent des ombres","Coeur de Loki"
"Michel Robert","l'agent des ombres","Belle de Mort"
"Melissa","","Melissa - Kate Brian - Campus, tome 3"
"Melissa","","Melissa - Kate Brian - Campus, tome 2"
"Melissa","","Melissa - Kate Brian - Campus, tome 1"
"Lish McBride","","Nécromanciens"
"Bottero, Pierre","L'Autre","Le Maître des Tempêtes"
"Bottero, Pierre","L'Autre","Le souffle de la hyène"
"Bottero, Pierre","L'Autre","La Huitième Porte"
"lucie","","lucie"
"Kelley Armstrong","Femmes de l'Autremonde","Femmes de l'Autremonde T 8 - Démoniaque"
"Karine Giebel","","Meurtres pour rédemption"
"Karen Marie Moning","","Iced: A Dani O'Malley Novel (Fever Series)"
"Kami Garcia","Livre des Lunes","19 lunes [Livre des lunes-4]_By Sly"
"Kami Garcia & Margaret Stohl","Livre des Lunes","18 lunes[Livre des lunes-3]KamiGarcia&MargaretSthol By Sly"
"Lilie","","Lilie"
"Jean Racine","","Bérénice"
"Kernan","","Le sceau des ténèbres"
"Jane Austen","","Persuasion"
"Fred Vargas","","Petit traité de toutes vérités sur l'existence"
"Unknown","","Vargas,Fred(1996) Un peu plus loin sur la droite"
"Fred Vargas","J.B. Adamsberg","Sous les vents de Neptune"
"Vargas,Fred","J.B. Adamsberg","Un lieu incertain"
"Fred Vargas","","Sans feu ni lieu"
"Vargas,Fred","J.B. Adamsberg","L'Armée furieuse"
"Fred Vargas","","Les Jeux de l'amour et de la mort"
"Fred Vargas","","Ceux Qui Vont Mourir TE Saluent"
"Fred Vargas","","Dans Les Bois éternels"
"Thilliez Franck","","Deuils De Miel"
"Franck Thilliez","","Atomka"
"Franck Thilliez","","Ouroboros"
"Franck Thilliez","","Fractures"
"Franck Thilliez","","Gataca"
"Franck Thilliez & Laurent Scalese","","L’Encre et le Sang"
"Thilliez, Franck","","La mémoire fantôme"
"Franck Thilliez","","Puzzle"
"Franck Thilliez","","Train D'Enfer Pour Ange Rouge"
"Thilliez Franck & Franck Thilliez","","Vertige"
"Emile Zola","","La Fortune des Rougon"
"Donatien Alphonse François Marquis de Sade","","Les Infortunes de la vertu"
"Jack London","","White Fang"
"Charlotte Brontë","","Jane Eyre ou Les Mémoires d'une institutrice"
"Thilliez, Franck","","L'anneau de moebius"
"Audrey Nixon","","Jennifer's Body"
"Brent Weeks","","l'ange de la nuit T1"
"Denis Diderot","","La religieuse"
"Alexandre Dumas","","Le Comte de Monte-Cristo - Tome I"
"Zito V.M","","L'Homme Des Morts"
"David Zindell","Le Cycle d'EA","Le Seigneur des Mensonges"
"Zindell, David","Le Cycle d'EA","Le Neuvième Royaume"
"David Zindell","Le Cycle d'EA","Le Jade Noir"
"Zindell, David","Le Cycle d'EA","Le Gardien de la Pierre"
"Zindell, David","Le Cycle d'EA","L'Epée d'Argent"
"Zindell, David","","L'Enigme de Maitreya"
"Zelazny, Roger","Princes d'Ambre","Prince du Chaos"
"Zelazny,Roger","Princes d'Ambre","Les fusils d'Avalon"
"Zelazny, Roger","Princes d'Ambre","Les cours du chaos"
"Athame","","Williams Sandy - La Diseuse D'Ombres - Sidhe T1"
"Athame - Pauline","","Kane Stacia - Démons Personnels - Megan Chase T1"
"ZELAZNY Roger","","[Ambre T06] Les Atouts de la Vengeance"
"ZELAZNY Roger","","[Cycle d'Ambre-01] Les 9 Princes d'Ambre"
"Zelazny,Roger","Princes d'Ambre","Le signe du chaos"
"Zelazny, Roger","Princes d'Ambre","Les 9 Princes d'Ambre"
"Zelazny, Roger","Princes d'Ambre","Les Atouts de la Vengeance"
"Zelazny,Roger","Princes d'Ambre","Le signe de la Licorne"
"ZELAZNY Roger","","[Ambre T07] Le Sang d'Ambre"
"Zelazny, Roger & Sheckley, Robert","le concours du millénaire","Le démon de la farce"
"Zelazny, Roger","Princes d'Ambre","Le Sang d'Ambre"
"Zelazny,Roger","Princes d'Ambre","La main d'Obéron"
"Zelazny,Roger","Princes d'Ambre","Chevalier des ombres"
"Zelazny, Roger & Sheckley, Robert","le concours du millénaire","Apportez moi la tete du prince charmant"
"Zelazny, Roger & Sheckley, Robert","le concours du millénaire","A faust, faust et demi"
"Inconnu","","Le Trône du Dragon"
"Inconnu","","Le Roi de l'Orage"
"Tad Williams","L'Arcane des Épées","Le Livre du Nécromant"
"Tad Williams","L'Arcane des Epées","Le cri de Camaris - La Citadelle Assiègée 2"
"Tad Williams","L'Arcane des Epées","La Tour de L'Ange Vert - La Citadelle Assiégée 4"
"Tad Williams","L'Arcane des Épées","La Pierre de l'Adieu"
"Williams, Tad","L'Arcane des Epées","Le cri de Camaris"
"Williams, Tad","L'Arcane des Epées","La Tour de L'Ange Vert"
"Tad Williams","","La Maison de l'Ancêtre"
"Tad Williams","L'Arcane des Epées","L'ombre de la roue - La Citadelle Assiégée 3"
"Williams, Tad","L'Arcane des Epées","L'ombre de la roue"
"Tad Williams - Autremonde - 2","","L'Ombre de la Cité d'Or"
"Tad Williams - Autremonde - 1","","Autremonde"
"Weinberg, Robert","","Les Insoumis - Tome 3"
"Robert Weinberg","","L'Alliance Impie - Tome 2"
"Robert Weinberg","","Guerre de Sang - Tome 1"
"Brent Weeks","l'ange de la nuit T2","Le Choix Des Ombres"
"Brent Weeks","l'ange de la nuit T1","La Voie Des Ombres"
"Brent Weeks","","Au-Delà Des Ombres"
"Weber, David","","L'option Excalibur"
"Vance,Jack","Terre mourante","Un monde magique"
"Vance,Jack","","Space Opéra"
"Jack Vance","","Monstres sur Orbite"
"Vance, Jack","Le cycle de Lyonesse","Madouc"
"Vance,Jack","","Les Maîtres des Dragons"
"Jack Vance","","Les langages de Pao"
"Vance,Jack","","Les chroniques de Durdane"
"Jack Vance","Cycle de Tschaï","Le Wankh"
"Jack Vance","The Demon Princes","Le Visage du Démon"
"Jack Vance","La geste des Princes-démons","Le Prince des étoiles"
"Jack Vance","Cycle de Tschaï","Le Pnume"
"Jack Vance","The Demon Princes","Le Palais de l'amour"
"Jack Vance","The Demon Princes","Le Livre des Rêves"
"Vance, Jack","Le cycle de Lyonesse","Le jardin de Suldrun"
"Jack Vance","Cycle de Tschaï","Le Dirdir"
"Jack Vance","Cycle de Tschaï","Le Chasch"
"Vance, Jack","Le cycle de Lyonesse","La perle verte"
"Jack Vance","","La Mémoire Des Etoiles"
"Jack Vance","The Demon Princes","La Machine à tuer"
"Vance,Jack","Terre mourante","Cugel saga"
"Vance,Jack","Terre mourante","Cugel l'astucieux"
"Van Vogt,Alfred E","Le Non-A","Les joueurs du Non-A"
"Van Vogt, Alfred E","Le Non-A","Le Monde des Non-A"
"Van Vogt,Alfred E","Le Non-A","La fin du Non-A"
"Tolkien,J.R.R.","","Maître Gilles de Ham"
"Tolkien,J.R.R.","","Les enfants de Hùrin"
"Tolkien,J.R.R.","Seigneur des Anneaux","Les Deux Tours"
"Tolkien,J.R.R.","","Le Silmarillion"
"Tolkien,J.R.R.","Seigneur des Anneaux","Le Retour du roi"
"Tolkien,J.R.R.","Seigneur des Anneaux","La Communauté de l'Anneau"
"Tolkien,J.R.R.","","Faërie"
"Tolkien, J.R.R","","Bilbo le Hobbit - Illustré par Alan Lee"
"Tolkien, J.R.R","","Bilbo le Hobbit"
"Michael J. Sullivan","Les Révélations De Riyria","La Tour Elfique"
"Michael J. Sullivan","Les Révélations De Riyria","La Conspiration De La Couronne"
"Michael J. Sullivan","Les Révélations De Riyria","L'Empire de Nyphron"
"Michael A. Stackpole","La Guerre de la Couronne","La Grande Croisade"
"Michael A. Stackpole","La Guerre de la Couronne","La Furie des dragons"
"Michael A. Stackpole","La Guerre de la Couronne","Forteresse Draconis"
"Smith, Edouard Elmer","Fulgur","Triplanétaire"
"Smith,Edouard Elmer","Fulgur","Patrouille galactique"
"Smith,Edouard Elmer","Fulgur","Les maîtres du Vortex"
"Smith,Edouard Elmer","Fulgur","Les Enfants du Joyau"
"Smith,Edouard Elmer","Fulgur","Le Surfulgur"
"Smith,Edouard Elmer","Fulgur","Le premier Fulgur"
"Smith,Edouard Elmer","Fulgur","Le Fulgur gris"
"Simmons,Dan","Cantos d'Hyperion","La Chute d'Hyperion 2"
"Simmons,Dan","Cantos d'Hyperion","La Chute d'Hyperion 1"
"Silverberg,Robert","Majipoor","Valentin de Majipoor"
"Silverberg,Robert","Majipoor","Prestimion le Coronal"
"Silverberg,Robert","Majipoor","Les Montagnes de Majipoor"
"Silverberg,Robert","Majipoor","Les Sorciers de Majipoor"
"Silverberg,Robert","Majipoor","Le Roi des Rêves"
"Silverberg,Robert","Majipoor","Le Livre des Changements"
"Robert Silverberg","Le cycle de Majipoor","Le Chateau De Lord Valentin"
"Silverberg,Robert","Majipoor","Chroniques de Majipoor"
"Michael Scott","Les Secrets de l'Immortel Nicolas Flamel","Le Traître"
"Michael Scott","Les Secrets de l'Immortel Nicholas Flamel","Le Nécromancien"
"Michael Scott","Les Secrets de l'Immortel Nicholas Flamel","Nicholas Flamel 2 : Le Magicien"
"Michael Scott","Les Secrets de l'Immortel Nicholas Flamel","Nicholas Flamel 3 : L'Ensorceleuse"
"Michael Scott","Les Secrets de l'Immortel Nicolas Flamel","L'Enchanteresse"
"Scott, Michael","Les Secrets de l'Immortel Nicholas Flamel","Le Magicien"
"Scott, Michael","Les Secrets de l'Immortel Nicholas Flamel","L'Ensorceleuse"
"Michael Scott","Les Secrets de l'Immortel Nicholas Flamel","Nicholas Flamel 1 : L'alchimiste"
"Scott, Michael","Les Secrets de l'Immortel Nicholas Flamel","L'alchimiste"
"Sanderson, Brandon","Fils des Brumes","Le puits de l'ascension"
"Sanderson,Brandon","Fils des Brumes","L'empire ultime"
"Sanderson,Brandon","Fils des Brumes","Le héros des siècles"
"J.K. Rowling","Harry Potter","Les contes de Beedle Le barde"
"Rowling,J.K.","Harry Potter","Harry Potter et les reliques de la mort"
"Rowling,J.K.","Harry Potter","Harry Potter et le Prince de Sang-Mêlé"
"Rowling,J.K.","Harry Potter","Harry Potter Et L'Ordre Du Phénix"
"Rowling,J.K.","Harry Potter","Harry Potter à l'Ecole des Sorciers"
"Rouaud, Antoine","","La Voie de la colère"
"Rothfuss Patrick","Chronique du tueur de roi","Le nom du vent"
"Rothfuss, Patrick","Chronique du tueur de roi","La peur du sage - Partie 2"
"Rothfuss Patrick","Chronique du tueur de roi","La peur du sage - Partie 1"
"Mark Robson","","Vulcain"
"Robson, Mark","L'Oeil du Dragon","Souffle d'Ombre"
"Robson,Mark","L'Oeil du Dragon","Dent de Sabre"
"Robson,Mark","L'Oeil du Dragon","Aurore"
"Rice,Anne","Sorcières Mayfair","Taltos"
"Rice,Anne","Chroniques des Vampires","Merrick"
"Rice,Anne","Chroniques des Vampires","Memnoch le demon"
"Rice,Anne","Chroniques des Vampires","Lestat le Vampire"
"anne Rice","Infortunes de la Belle au bois dormant, Les","Libération"
"Rice,Anne","Chroniques des Vampires","Le Voleur de Corps"
"Rice,Anne","Chroniques des Vampires","Le sang et l'or"
"Rice,Anne","Sorcières Mayfair","Le lien maléfique"
"Rice,Anne","Chroniques des Vampires","Le Domaine Blackwood"
"Rice,Anne","Chroniques des Vampires","La Reine des Damnés"
"Rice,Anne","Infortunes de la Belle au bois dormant","La Punition"
"Rice,Anne","Infortunes de la Belle au bois dormant","L'initiation"
"Rice,Anne","Sorcières Mayfair","L'heure des Sorcières"
