authors,series,title
"Priest,Christopher","","Futur intérieur"
"Sapkowski, Andrzej","La Saga du Sorceleur","L'épée de la providence"
"Betancourt, John Gregory","Prélude aux Neuf princes d'Ambre","Ambre et Chaos"
"Fetjaine, Jean-Louis","La trilogie des elfes","L'heure des elfes"
"Fetjaine, Jean-Louis","La trilogie des elfes","Le crépuscule des elfes"
"Hobb, Robin","Les Cités des Anciens","Les Gardiens des souvenirs"
"Merritt, Abraham","","Le monstre de métal"
"Brown, Fredric","Ed & Am Hunter","Regrets Eternels"
"Dick, Phillip K","","Les clans de la lune alphane"
"Simak, Clifford D","","la planète de Shakespeare"
"Hobb, Robin","Assassin Royal","La Nef du crépuscule"
"Adams, Douglas","H2G2","Le Guide du Routard Galactique"
"Salvatore, R.A","Neverwinter","La Griffe de Charon"
"Wolfe, Gene","Le Livre du second soleil de Teur","La citadelle de l'Autarque"
"Mc Caffrey, Anne","Pern : La grande guerre des fils","La quête du dragon"
"Heinlein, Robert","","Route de la gloire"
"Asimov, Isaac","The Early Asimov","Noël sur Ganymède"
"Grimbert, Pierre","Les Gardiens de Ji","Le deuil écarlate"
"Mc Caffrey, Anne","Transe du crystal","Killashandra"
"Priest,Christopher","","Les Extrêmes"
"Del Toro, Guillermo","La lignée","La nuit éternelle"
"Simmons, Dan","Cantos d'Hyperion","L'eveil d'Endymion 2"
"Salvatore, R.A","Légende de Drizzt","Nuit sans étoiles"
"Betancourt, John Gregory","Prélude aux Neuf princes d'Ambre","Les Neuf Princes du Chaos"
"Lindholm, Megan","Le Peuple des Rennes","Le Frère Du Loup"
"Hobb, Robin","Les Cités des Anciens","Le vol des dragons"
"Robinson, Kim Stanley","La Trilogie Martienne","Mars la bleue"
"Van Vogt, Alfred E","","La faune de l'espace"
"Wolfe, Gene","Le Livre du second soleil de Teur","L'ombre du bourreau"
"Mc Caffrey, Anne","Pern : Les Harpistes","Les tambours de Pern"
"Clarke, Arthur C","","Tempête Solaire"
"Dick, Phillip K","La Trilogie Divine","Radio Libre Albemuth"
"Weis, Margaret","Les chroniques de Lancedragon","Dragons d'une Nuit d'Hiver"
"Asimov, Isaac","Veufs Noirs","A table avec les veufs noirs"
"Van Vogt, Alfred E","","Rencontre cosmique"
"Heinlein, Robert","","Trois pas dans l'éternité"
"Asimov, Isaac","The Early Asimov","Dangeureuse Callisto"
"Mc Caffrey, Anne","Pern : Les Harpistes","Le Dragon Chanteur"
"Jeter, K.W","La guerre des chasseurs de prime","L'armure Mandalorienne"
"Salvatore, R.A","Légende de Drizzt","Le Joyau du Halfelin"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","La mémoire de l'archipel"
"Lackey, Mercedes","La trilogie des Tempêtes","L'annonce des tempètes"
"Simak, Clifford D","","Les visiteurs"
"Van Vogt, Alfred E","","Les Enfants de demain"
"Van Vogt, Alfred E","","Le Livre De Ptath"
"Ballard, J.G","","La forêt de cristal"
"Ayerdhal","","Parleur ou les chroniques d'un rêve enclavé"
"Robinson, Kim Stanley","La Trilogie Martienne","Mars la rouge"
"Morgan, Richard","","Black Man"
"Dick, Phillip K","","Substance Mort"
"Hobb, Robin","Les Aventuriers de la mer","L'eveil des eaux dormantes"
"Gemmell, David","","Dark Moon"
"Card, Orson Scott","Terre des Origines","Basilica"
"Hobb, Robin","Assassin Royal","La voie magique"
"Powers, Tim","","Sur des mers plus ignorées"
"Brown, Fredric","","Martiens, go home !"
"Grimbert, Pierre","Les Gardiens de Ji","La volonté du démon"
